CLASS,INF,PRS.PTCP,PAST.PTCP,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,IMPF.IND.1SG,IMPF.IND.2SG,IMPF.IND.3SG,IMPF.IND.1PL,IMPF.IND.2PL,IMPF.IND.3PL,COND.IND.1SG,COND.IND.2SG,COND.IND.3SG,COND.IND.1PL,COND.IND.2PL,COND.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IMPF1.SBJV.1SG,IMPF1.SBJV.2SG,IMPF1.SBJV.3SG,IMPF1.SBJV.1PL,IMPF1.SBJV.2PL,IMPF1.SBJV.3PL,IMPF2.SBJV.1SG,IMPF2.SBJV.2SG,IMPF2.SBJV.3SG,IMPF2.SBJV.1PL,IMPF2.SBJV.2PL,IMPF2.SBJV.3PL,FUT.SBJV.1SG,FUT.SBJV.2SG,FUT.SBJV.3SG,FUT.SBJV.1PL,FUT.SBJV.2PL,FUT.SBJV.3PL
CONOCER,conocer,conociendo,conocido,conoce,conozcamos,conoced,conozco,conoces,conoce,conocemos,conocéis,conocen,conocí,conociste,conoció,conocimos,conocisteis,conocieron,conocía,conocías,conocía,conocíamos,conocíais,conocían,conocerías,conocería,conoceríamos,conoceríais,conocería,conocerían,conoceré,conocerás,conocerá,conoceremos,conoceréis,conocerán,conozca,conozcas,conozca,conozcamos,conozcáis,conozcan,conociera,conocieras,conociera,conociéramos,conocierais,conocieran,conociese,conocieses,conociese,conociésemos,conocieseis,conociesen,conociere,conocieres,conociere,conociéremos,conociereis,conocieren
LUCIR,lucir,luciendo,lucido,luce,luzcamos,lucid,luzco,luces,luce,lucimos,lucís,lucen,lucí,luciste,lució,lucimos,lucisteis,lucieron,lucía,lucías,lucía,lucíamos,lucíais,lucían,luciría,lucirías,luciría,luciríamos,luciríais,lucirían,luciré,lucirás,lucirá,luciremos,luciréis,lucirán,luzca,luzcas,luzca,luzcamos,luzcáis,luzcan,luciera,lucieras,luciera,luciéramos,lucierais,lucieran,luciese,lucieses,luciese,luciésemos,lucieseis,luciesen,luciere,lucieres,luciere,luciéremos,luciereis,lucieren
CONSTRUIR,construir,construyendo,construido,construye,construyamos,construid,construyo,construyes,construye,construimos,construís,construyen,construí,construiste,construyó,construimos,construisteis,construyeron,construía,construías,construía,construíamos,construíais,construían,construiría,construirías,construiría,construiríamos,construiríais,construirían,construiré,construirás,construirá,construiremos,construiréis,construirán,construya,construyas,construya,construyamos,construyáis,construyan,construyera,construyeras,construyera,construyéramos,construyerais,construyeran,construyese,construyeses,construyese,construyésemos,construyeseis,construyesen,construyere,construyeres,construyere,construyéremos,construyereis,construyeren
CAER,caer,cayendo,caído,cae,caigamos,caed,caigo,caes,cae,caemos,caéis,caen,caí,caiste,cayó,caímos,caísteis,cayeron,caía,caías,caía,caíamos,caíamis,caían,caería,caerías,caería,caeríamos,caeríais,caerían,caeré,caerás,caerá,caeremos,caeréis,caerán,caiga,caigas,caiga,caigamos,caigáis,caigan,cayera,cayeras,cayera,cayéramos,cayerais,cayeran,cayese,cayeses,cayese,cayésemos,cayeseis,cayesen,cayere,cayeres,cayere,cayéremos,cayereis,cayeren
OÍR,oír,oyendo,oído,oye,oigamos,oíd,oigo,oyes,oye,oímos,oís,oyen,oí,oíste,oyó,oímos,oísteis,oyeron,oía,oías,oía,oíamos,oíais,oían,oiría,oirías,oiría,oiríamos,oiríais,oirían,oiré,oirás,oirá,oiremos,oiréis,oirán,oiga,oigas,oiga,oigamos,oigáis,oigan,oyera,oyeras,oyera,oyéramos,oyerais,oyeran,oyese,oyeses,oyese,oyésemos,oyeseis,oyesen,oyere,oyeres,oyere,oyéremos,oyereis,oyeren
SALIR,salir,saliendo,salido,sal,salgamos,salid,salgo,sales,sale,salimos,salís,salen,salí,saliste,salió,salimos,salisteis,salieron,salía,salías,salía,salíamos,salíais,salían,saldría,saldrías,saldría,saldríamos,saldríais,saldrían,saldré,saldrás,saldrá,saldremos,saldréis,saldrán,salga,salgas,salga,salgamos,salgáis,salgan,saliera,salieras,saliera,saliéramos,salierais,salieran,saliese,salieses,saliese,saliésemos,salieseis,saliesen,saliere,salieres,saliere,saliéremos,saliereis,salieren
VALER,valer,valiendo,valido,vale,valgamos,valed,valgo,vales,vale,valemos,valéis,valen,valí,valiste,valió,valimos,valisteis,valieron,valía,valías,valía,valíamos,valíais,valían,valdría,valdrías,valdría,valdríamos,valdríais,valdrían,valdré,valdrás,valdrá,valdremos,valdréis,valdrán,valga,valgas,valga,valgamos,valgáis,valgan,valiera,valieras,valiera,valiéramos,valierais,valieran,valiese,valieses,valiese,valiésemos,valieseis,valiesen,valiere,valieres,valiere,valiéremos,valiereis,valieren
ASIR,asir,asiendo,asido,ase,asgamos,asid,asgo,ases,ase,asimos,asís,asen,así,asiste,asió,asimos,asisteis,asieron,asía,asías,asía,asíamos,asíais,asían,asiría,asirías,asiría,asiríamos,asiríais,asirían,asiré,asirás,asirá,asiremos,asiréis,asirán,asga,asgas,asga,asgamos,asgáis,asgan,asiera,asieras,asiera,asiéramos,asierais,asieran,asiese,asieses,asiese,asiésemos,asieseis,asiesen,asiere,asieres,asiere,asiéremos,asiereis,asieren
VER,ver,viendo,visto,ve,veamos,ved,veo,ves,ve,vemos,veis,ven,vi,viste,vio,vimos,visteis,vieron,veía,veías,veía,veíamos,veíais,veían,vería,verías,vería,veríamos,veríais,verían,veré,verás,verá,veremos,veréis,verán,vea,veas,vea,veamos,veáis,vean,viera,vieras,viera,viéramos,vierais,vieran,viese,vieses,viese,viésemos,vieseis,viesen,viere,vieres,viere,viéremos,viereis,vieren
DISCERNIR,discernir,discerniendo,discernido,discierne,discernamos,discernid,discierno,disciernes,discierne,discernimos,discernís,disciernen,discerní,discerniste,discernió,discernimos,discernisteis,discernieron,discernía,discernías,discernía,discerníamos,discerníais,discernían,discerniría,discernirías,discerniría,discerniríamos,discerniríais,discernirían,discerniré,discernirás,discernirá,discerniremos,discerniréis,discernirán,discierna,disciernas,discierna,discernamos,discernáis,disciernan,discerniera,discernieras,discerniera,discerniéramos,discernierais,discernieran,discerniese,discernieses,discerniese,discerniésemos,discernieseis,discerniesen,discerniere,discernieres,discerniere,discerniéremos,discerniereis,discernieren
JUGAR,jugar,jugando,jugado,juega,juguemos,jugad,juego,juegas,juega,jugamos,jugáis,juegan,jugué,jugaste,jugó,jugamos,jugasteis,jugaron,jugaba,jugabas,jugaba,jugábamos,jugabais,jugaban,jugaría,jugarías,jugaría,jugaríamos,jugaríais,jugarían,jugaré,jugarás,jugará,jugaremos,jugaréis,jugarán,juegue,juegues,juegue,juguemos,juguéis,jueguen,jugara,jugaras,jugara,jugáramos,jugarais,jugaran,jugase,jugases,jugase,jugásemos,jugaseis,jugasen,jugare,jugares,jugare,jugáremos,jugareis,jugaren
ADQUIRIR,adquirir,adquiriendo,adquirido,adquiere,adquiramos,adquirid,adquiero,adquieres,adquiere,adquirimos,adquirís,adquieren,adquirí,adquiriste,adquirió,adquirimos,adquiristeis,adquirieron,adquiría,adquirías,adquiría,adquiríamos,adquiríais,adquirían,adquiriría,adquirirías,adquiriría,adquiriríamos,adquiriríais,adquirirían,adquiriré,adquirirás,adquirirá,adquiriremos,adquiriréis,adquirirán,adquiera,adquieras,adquiera,adquiramos,adquiráis,adquieran,adquiriera,adquirieras,adquiriera,adquiriéramos,adquirierais,adquirieran,adquiriese,adquirieses,adquiriese,adquiriésemos,adquirieseis,adquiriesen,adquiriere,adquirieres,adquiriere,adquiriéremos,adquiriereis,adquirieren
ARGÜIR,argüir,arguyendo,argüido,arguye,arguyamos,argüid,arguyo,arguyes,arguye,argüimos,argüís,arguyen,argüí,argüiste,arguyó,argüimos,argüisteis,arguyeron,argüía,argüías,argüía,argüíamos,argüíais,argüían,argüiría,argüirías,argüiría,argüiríamos,argüiríais,argüirían,argüiré,argüirás,argüirá,argüiremos,argüiréis,argüirán,arguya,arguyas,arguya,arguyamos,arguyáis,arguyan,arguyera,arguyeras,arguyera,arguyéramos,arguyerais,arguyeran,arguyese,arguyeses,arguyese,arguyésemos,arguyeseis,arguyesen,arguyere,arguyereis,arguyere,arguyéremos,arguyereis,arguyeren
SER,ser,siendo,sido,sé,seamos,sed,soy,eres,es,somos,sois,son,fui,fuiste,fue,fuimos,fuisteis,fueron,era,eras,era,éramos,erais,eran,sería,serías,sería,seríamos,seríais,serían,seré,serás,será,seremos,seréis,serán,sea,seas,sea,seamos,seáis,sean,fuera,fueras,fuera,fuéramos,fuerais,fueran,fuese,fueses,fuese,fuésemos,fueseis,fuesen,fuere,fueres,fuere,fuéremos,fuereis,fueren
ESTAR,estar,estando,estado,está,estemos,estad,estoy,estás,está,estamos,estáis,están,estuve,estuviste,estuvo,estuvimos,estuvisteis,estuvieron,estaba,estabas,estaba,estábamos,estabais,estaban,estaría,estarías,estaría,estaríamos,estaríais,estarían,estaré,estarás,estará,estaremos,estaréis,estarán,esté,estés,esté,estemos,estéis,estén,estuviera,estuvieras,estuviera,estuviéramos,estuvierais,estuvieran,estuviese,estuvieses,estuviese,estuviésemos,estuvieseis,estuviesen,estuviere,estuvieres,estuviere,estuviéremos,estuviereis,estuvieren
HABER,haber,habiendo,habido,he,hayamos,habed,he,has,ha,hemos,habéis,han,hube,hubiste,hubo,hubimos,hubisteis,hubieron,había,habías,había,habíamos,habíais,habían,habría,habrías,habría,habríamos,habríais,habrían,habré,habrás,habrá,habremos,habréis,habrán,haya,hayas,haya,hayamos,hayáis,hayan,hubiera,hubieras,hubiera,hubiéramos,hubierais,hubieran,hubiese,hubieses,hubiese,hubiésemos,hubieseis,hubiesen,hubiere,hubieres,hubiere,hubiéremos,hubiereis,hubieren
SABER,saber,sabiendo,sabido,sabe,sepamos,sabed,sé,sabes,sabe,sabemos,sabéis,saben,supe,supiste,supo,supimos,supisteis,supieron,sabía,sabías,sabía,sabíamos,sabíais,sabían,sabría,sabrías,sabría,sabríamos,sabríais,sabrían,sabré,sabrás,sabrá,sabremos,sabréis,sabrán,sepa,sepas,sepa,sepamos,sepáis,sepan,supiera,supieras,supiera,supiéramos,supierais,supieran,supiese,supieses,supiese,supiésemos,supieseis,supiesen,supiere,supieres,supiere,supiéremos,supiereis,supieren
CABER,caber,cabiendo,cabido,cabe,quepamos,cabed,quepo,cabes,cabe,cabemos,cabéis,caben,cupe,cupiste,cupo,cupimos,cupistes,cupieron,cabía,cabías,cabía,cabíamos,cabíais,cabían,cabría,cabrías,cabría,cabríamos,cabríais,cabrían,cabré,cabrás,cabrá,cabremos,cabréis,cabrán,quepa,quepas,quepa,quepamos,quepáis,quepan,cupiera,cupieras,cupiera,cupiéramos,cupierais,cupieran,cupiese,cupieses,cupiese,cupiésemos,cupieseis,cupiesen,cupiere,cupieres,cupiere,cupiéremos,cupiereis,cupieren
IR,ir,yendo,ido,ve,vamos,id,voy,vas,vale,vamos,vais,van,fui,fuiste,fue,fuimos,fuisteis,fueron,iba,ibas,iba,íbamos,ibais,iban,iría,irías,iría,iríamos,iríais,irían,iré,irás,irá,iremos,iréis,irán,vaya,vayas,vaya,vayamos,vayáis,vayan,fuera,fueras,fuera,fuéramos,fuerais,fueran,fuese,fueses,fuese,fuésemos,fueseis,fuesen,fuere,fueres,fuere,fuéremos,fuereis,fueren
DAR,dar,dando,dado,da,demos,dad,doy,das,da,damos,dais,dan,discerní,diste,dio,dimos,disteis,dieron,daba,dabas,daba,dábamos,dabais,daban,daría,darías,daría,daríamos,daríais,darían,daré,darás,dará,daremos,daréis,darán,dé,des,dé,demos,deis,den,diera,dieras,diera,diéramos,dierais,dieran,diese,dieses,diese,diésemos,dieseis,diesen,diere,dieres,diere,diéremos,diereis,dieren
PODER,poder,pudiendo,podido,puede,podamos,poded,puedo,puedes,puede,podemos,podéis,pueden,pude,pudiste,pudo,pudimos,pudisteis,pudieron,podía,podías,podía,podíamos,podíais,podían,podría,podrías,podría,podríamos,podríais,podrían,podré,podrás,podrá,podremos,podréis,podrán,pueda,puedas,pueda,podamos,podáis,puedan,pudiera,pudieras,pudiera,pudiéramos,pudierais,pudieran,pudiese,pudieses,pudiese,pudiésemos,pudieseis,pudiesen,pudiere,pudieres,pudiere,pudiéremos,pudiereis,pudieren
QUERER,querer,queriendo,querido,quiere,queramos,quered,quiero,quieres,quiere,queremos,queréis,quieren,quise,quisiste,quiso,quisimos,quisisteis,quisieron,quería,querías,quería,queríamos,queríais,querían,querría,querrías,querría,querríamos,querríais,querrían,querré,querrás,querrá,querremos,querréis,querrán,quiera,quieras,quiera,queramos,queráis,quieran,quisiera,quisieras,quisiera,quisiéramos,quisierais,quisieran,quisiese,quisieses,quisiese,quisiésemos,quisieseis,quisiesen,quisiere,quisieres,quisiere,quisiéremos,quisiereis,quisieren
DECIR,decir,diciendo,dicho,di,digamos,decid,digo,dices,dice,decimos,decís,dicen,dije,dijiste,dijo,dijimos,dijisteis,dijeron,decía,decías,decía,decíamos,decíais,decían,diría,dirías,diría,diríamos,diríais,dirían,diré,dirás,dirá,diremos,diréis,dirán,diga,digas,diga,digamos,digáis,digan,dijera,dijeras,dijera,dijéramos,dijerais,dijeran,dijese,dijeses,dijese,dijésemos,dijeseis,dijesen,dijere,dijeres,dijere,dijéremos,dijereis,dijeren
HACER,hacer,haciendo,hecho,haz,hagamos,haced,hago,haces,hace,hacemos,hacéis,hacen,hice,hiciste,hizo,hicimos,hicisteis,hicieron,hacía,hacías,hacía,hacíamos,hacíais,hacían,haría,harías,haría,haríamos,haríais,harían,haré,harás,hará,haremos,haréis,harán,haga,hagas,haga,hagamos,hagáis,hagan,hiciera,hicieras,hiciera,hiciéramos,hicierais,hicieran,hiciese,hicieses,hiciese,hiciésemos,hicieseis,hiciesen,hiciere,hicieres,hiciere,hiciéremos,hiciereis,hicieren
PONER,poner,poniendo,puesto,pon,pongamos,poned,pongo,pones,pone,ponemos,ponéis,ponen,puse,pusiste,puso,pusimos,pusisteis,pusieron,ponía,ponías,ponía,poníamos,poníais,ponían,pondría,pondrías,pondría,pondríamos,pondríais,pondrían,pondré,pondrás,pondrá,pondremos,pondréis,pondrán,ponga,pongas,ponga,pongamos,pongáis,pongan,pusiera,pusieras,pusiera,pusiéramos,pusierais,pusieran,pusiese,pusieses,pusiese,pusiésemos,pusieseis,pusiesen,pusiere,pusieres,pusiere,pusiéremos,pusiereis,pusieren
TENER,tener,teniendo,tenido,ten,tengamos,tened,tengo,tienes,tiene,tenemos,tenéis,tienen,tuve,tuviste,tuvo,tuvimos,tuvistes,tuvieron,tenía,tenías,tenía,teníamos,teníais,tenían,tendría,tendrías,tendría,tendríamos,tendríais,tendrían,tendré,tendrás,tendrá,tendremos,tendréis,tendrán,tenga,tengas,tenga,tengamos,tengáis,tengan,tuviera,tuvieras,tuviera,tuviéramos,tuvierais,tuvieran,tuviese,tuvieses,tuviese,tuviésemos,tuvieseis,tuviesen,tuviere,tuvieres,tuviere,tuviéremos,tuviereis,tuvieren
VENIR,venir,viniendo,venido,ven,vengamos,venid,vengo,vienes,viene,venimos,venís,vienen,vine,viniste,vino,vinimos,vinisteis,vinieron,venía,venías,venía,veníamos,veníais,venían,vendría,vendrías,vendría,vendríamos,vendríais,vendrían,vendré,vendrás,vendrá,vendremos,vendréis,vendrán,venga,vengas,venga,vengamos,vengáis,vengan,viniera,vinieras,viniera,viniéramos,vinierais,vinieran,viniese,vinieses,viniese,viniésemos,vinieseis,viniesen,viniere,vinieres,viniere,viniéremos,viniereis,vinieren
TRAER,traer,trayendo,traído,trae,traigamos,traed,traigo,traes,trae,traemos,traéis,traen,traje,trajiste,trajo,trajimos,trajisteis,trajeron,traía,traías,traía,traíamos,traíais,traían,traería,traerías,traería,traeríamos,traeríais,traerían,traeré,traerás,traerá,traeremos,traeréis,traerán,traiga,traigas,traiga,traigamos,traigáis,traigan,trajera,trajeras,trajera,trajéramos,trajerais,trajeran,trajese,trajeses,trajese,trajésemos,trajeseis,trajesen,trajere,trajeres,trajere,trajéremos,trajereis,trajeren
CONDUCIR,conducir,conduciendo,conducido,conduce,conduzcamos,conducid,conduzco,conduces,conduce,conducimos,conducís,conducen,conduje,condujiste,condujo,condujimos,condujisteis,condujeron,conducía,conducías,conducía,conducíamos,conducíais,conducían,conduciría,conducirías,conduciría,conduciríamos,conduciríais,conducirían,conduciré,conducirás,conducirá,conduciremos,conduciréis,conducirán,conduzca,conduzcas,conduzca,conduzcamos,conduzcáis,conduzcan,condujera,condujeras,condujera,condujéramos,condujerais,condujeran,condujese,condujeses,condujese,condujésemos,condujeseis,condujesen,condujere,condujeres,condujere,condujéremos,condujereis,condujeren
ANDAR,andar,andando,andado,anda,andemos,andad,ando,andas,anda,andamos,andáis,andan,anduve,anduviste,anduvo,anduvimos,anduvisteis,anduvieron,andaba,andabas,andaba,andábamos,andabais,andaban,andaría,andarías,andaría,andaríamos,andaríais,andarían,andaré,andarás,andará,andaremos,andaréis,andarán,ande,andes,ande,andemos,andéis,anden,anduviera,anduvieras,anduviera,anduviéramos,anduvierais,anduvieran,anduviese,anduvieses,anduviese,anduviésemos,anduvieseis,anduviesen,anduviere,anduvieres,anduviere,anduviéremos,anduviereis,anduvieren
